,sm,sm_uncertainty,flag,freqbandID,dnflag,mode,sensor,t0,_datetime
1979-08-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-23,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-24,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-25,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-26,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-27,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-28,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-29,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-30,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-08-31,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-01,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-02,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-03,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-04,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-05,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-06,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-07,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-08,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-09,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-10,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-11,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-12,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-13,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-14,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-15,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-16,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-17,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-18,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-19,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-20,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-21,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
1979-09-22,,,127,0,0,0,0,-9999.0,1942-08-17 00:00:00.000000000
